timestamps,open,high,low,close,volume,amount
2025-07-25 00:00:00,118340.98,118451.57,115330.86,115419.66,11127.20493,1298474353.4045227
2025-07-25 04:00:00,115419.65,116144.63,114723.16,115320.01,8835.25163,1019700087.7183645
2025-07-25 08:00:00,115320.01,116782.13,115008.85,116543.58,7216.21136,834883190.7814395
2025-07-25 12:00:00,116543.59,116656.99,114908.0,115727.08,6361.79335,736297597.7644308
2025-07-25 16:00:00,115727.07,116997.21,115455.46,116688.6,3089.40882,359266206.9225835
2025-07-25 20:00:00,116688.6,117630.0,116578.02,117614.31,1776.47864,208157350.0291532
2025-07-26 00:00:00,117614.31,117750.0,117138.38,117489.62,1222.24277,143573522.9239158
2025-07-26 04:00:00,117489.61,117547.92,117304.46,117304.47,1006.48005,118156813.3736454
2025-07-26 08:00:00,117304.47,118217.45,117304.46,117776.11,1549.30958,182516444.8435796
2025-07-26 12:00:00,117776.1,118220.0,117772.13,118130.1,1303.59734,153859195.9572898
2025-07-26 16:00:00,118130.1,118297.35,117941.96,118232.11,1051.39337,124173515.1999287
2025-07-26 20:00:00,118232.11,118276.66,117883.86,117919.99,858.64895,101349587.450951
2025-07-27 00:00:00,117919.99,118358.18,117825.5,118182.83,1007.50696,119027557.0859303
2025-07-27 04:00:00,118182.83,118438.83,118066.74,118095.95,808.21213,95561585.8691134
2025-07-27 08:00:00,118095.95,118292.86,117859.98,118072.71,835.9696,98708410.1613655
2025-07-27 12:00:00,118072.71,118588.0,117890.0,118585.74,1586.05165,187626934.0333028
2025-07-27 16:00:00,118585.75,119540.01,118585.75,118960.0,3418.37234,407360766.6908695
2025-07-27 20:00:00,118960.01,119766.65,118713.74,119415.55,1672.19651,199598288.3202167
2025-07-28 00:00:00,119415.56,119800.0,118960.5,119287.99,1824.53168,217797781.9847039
2025-07-28 04:00:00,119287.99,119701.07,118774.31,118900.0,2360.0622,281402696.3843602
2025-07-28 08:00:00,118900.01,119102.69,118475.47,118827.49,2060.1822,244734013.2613242
2025-07-28 12:00:00,118827.49,119093.68,117895.73,118174.9,3792.61028,449216545.1438869
2025-07-28 16:00:00,118174.89,118376.61,117427.5,118068.73,2575.55527,303595815.915483
2025-07-28 20:00:00,118068.73,118350.01,117500.09,118062.32,1348.80591,159135383.2067598
2025-07-29 00:00:00,118062.32,118800.0,117450.0,118764.85,2242.87768,264931696.5073892
2025-07-29 04:00:00,118764.85,119273.36,118416.66,118882.37,2579.99271,306618607.4829511
2025-07-29 08:00:00,118882.37,119051.0,118160.87,118592.38,1962.95351,232866007.2001823
2025-07-29 12:00:00,118592.38,119080.81,117272.0,117400.01,4173.95638,493253408.4897956
2025-07-29 16:00:00,117400.02,118057.05,116950.75,117525.29,2441.06334,286940381.0064748
2025-07-29 20:00:00,117525.28,118000.0,117094.96,117950.76,1737.09083,204071982.9988533
2025-07-30 00:00:00,117950.75,118250.0,117412.53,118161.87,1226.38506,144627350.1925008
2025-07-30 04:00:00,118161.86,118412.11,117667.33,118123.01,1232.08963,145539686.0383905
2025-07-30 08:00:00,118123.0,118481.81,117358.84,117579.99,2228.01795,263126870.0067514
2025-07-30 12:00:00,117579.99,118792.0,117358.84,118000.01,3794.91612,447809337.5560383
2025-07-30 16:00:00,118000.01,118037.18,115796.23,116916.73,5721.15052,669195849.8357475
2025-07-30 20:00:00,116916.73,117908.4,116880.64,117840.3,1384.17703,162397784.5935574
2025-07-31 00:00:00,117840.29,118600.0,117781.87,118466.14,2307.57332,273029834.8762592
